combo,tails,circuits,max_tail,max_circuit,circuit_lengths,tail_lengths,edge_selection
0000000000,610,1472,3,5,"[3, 4, 5]","{2: 491, 1: 118, 3: 1}",2578
0000000100,610,1018,7,18,"[3, 4, 5, 7, 11, 14, 15, 18]","{1: 233, 3: 90, 2: 261, 7: 26}",2578
0000001000,610,1022,8,11,"[3, 4, 7, 8, 9, 10, 11]","{2: 275, 3: 73, 1: 191, 7: 54, 6: 16, 8: 1}",2578
0000001100,610,568,95,182,"[3, 4, 8, 10, 21, 30, 65, 103, 182]","{1: 306, 3: 162, 19: 20, 2: 71, 7: 29, 57: 5, 16: 13, 95: 3, 20: 1}",2578
0000100000,610,1103,5,9,"[3, 4, 5, 6, 9]","{2: 402, 5: 89, 1: 118, 3: 1}",2578
0000100100,610,649,7,24,"[4, 5, 13, 14, 15, 23, 24]","{1: 233, 6: 89, 2: 261, 7: 26, 3: 1}",2578
0000101000,610,653,10,14,"[3, 4, 6, 9, 10, 11, 13, 14]","{2: 186, 10: 55, 3: 73, 1: 191, 7: 54, 5: 34, 6: 16, 8: 1}",2578
0000101100,610,199,483,4,"[3, 4]","{1: 306, 11: 55, 3: 73, 19: 20, 2: 71, 7: 29, 6: 34, 483: 3, 105: 12, 122: 3, 459: 1, 453: 1, 92: 1, 20: 1}",2578
0001000000,610,1103,3,8,"[3, 4, 5, 8]","{2: 491, 1: 118, 3: 1}",2578
0001000100,610,649,7,18,"[4, 5, 7, 8, 11, 14, 15, 18]","{1: 233, 3: 90, 2: 261, 7: 26}",2578
0001001000,610,653,18,30,"[3, 4, 9, 21, 26, 30]","{2: 275, 3: 73, 1: 191, 18: 54, 6: 16, 16: 1}",2578
0001001100,610,199,820,4,"[3, 4]","{1: 306, 3: 162, 79: 18, 2: 71, 18: 29, 16: 13, 77: 7, 817: 1, 820: 2, 76: 1}",2578
0001100000,610,734,10,19,"[3, 4, 5, 11, 19]","{2: 402, 10: 89, 1: 118, 3: 1}",2578
0001100100,610,280,11,38,"[4, 5, 15, 19, 23, 34, 38]","{1: 233, 11: 89, 2: 261, 7: 26, 3: 1}",2578
0001101000,610,349,60,63,"[3, 4, 9, 27, 56, 63]","{2: 186, 31: 10, 3: 73, 1: 191, 8: 18, 21: 18, 7: 47, 26: 16, 6: 16, 53: 8, 23: 8, 60: 7, 55: 8, 16: 3, 19: 1}",2578
0001101100,610,427,30,31,"[3, 4, 13, 31]","{1: 306, 8: 91, 3: 73, 2: 71, 21: 18, 12: 32, 30: 18, 29: 1}",2578
0010000000,610,1409,3,7,"[3, 4, 5, 7]","{2: 491, 1: 118, 3: 1}",2578
0010000100,610,955,7,18,"[3, 5, 7, 11, 14, 15, 18]","{1: 233, 3: 90, 2: 261, 7: 26}",2578
0010001000,610,959,8,11,"[3, 4, 7, 8, 9, 10, 11]","{2: 275, 3: 73, 1: 191, 7: 54, 6: 16, 8: 1}",2578
0010001100,610,505,95,182,"[3, 7, 8, 10, 21, 30, 65, 103, 182]","{1: 306, 3: 162, 19: 20, 2: 71, 7: 29, 57: 5, 16: 13, 95: 3, 20: 1}",2578
0010100000,610,1040,9,10,"[3, 4, 5, 6, 9, 10]","{2: 402, 5: 56, 1: 118, 9: 33, 3: 1}",2578
0010100100,610,586,10,28,"[5, 13, 14, 15, 23, 24, 27, 28]","{1: 233, 6: 56, 2: 261, 7: 26, 10: 33, 3: 1}",2578
0010101000,610,590,10,14,"[3, 4, 9, 10, 11, 13, 14]","{2: 186, 10: 55, 3: 73, 1: 191, 7: 54, 9: 33, 6: 16, 8: 1, 5: 1}",2578
0010101100,610,136,503,3,[3],"{1: 306, 11: 55, 3: 73, 19: 20, 2: 71, 7: 29, 10: 33, 503: 3, 105: 12, 126: 3, 483: 1, 473: 1, 96: 1, 20: 1, 6: 1}",2578
